Sheet_Name,Row_ID,Field_Reference,Field_Name,Field_Description,Data_Type,Required,XML_Element,Validation_Rule,Source_Reference,Input_Value,Calculated_Value,Validation_Status,Notes
SEC1_1.3,1.3.1,GIR/ConstituentEntities/Count,Total CE Count,Total number of Constituent Entities in group,Integer,Yes,<CECount>,Must be >= 1,Entity database,,,PENDING,Include all owned entities
SEC1_1.3,1.3.2,GIR/ConstituentEntities/Jurisdictions,Jurisdiction Count,Number of jurisdictions with CEs,Integer,Yes,<JurisdictionCount>,Must be >= 1,Entity database,,,PENDING,Distinct countries
SEC1_1.3,1.3.3,GIR/ConstituentEntities/Excluded,Excluded Entity Count,Number of excluded entities,Integer,No,<ExcludedCount>,Must be >= 0,Entity database,,,PENDING,Per Article 1.5
SEC1_1.3,1.3.4,GIR/ConstituentEntities/PEs,PE Count,Number of Permanent Establishments,Integer,No,<PECount>,Must be >= 0,Entity database,,,PENDING,Branch operations
SEC1_1.3,1.3.5,GIR/ConstituentEntities/JVs,JV Count,Number of Joint Ventures,Integer,No,<JVCount>,Must be >= 0,Entity database,,,PENDING,50%+ ownership
,,,,,,,,,,,,,
SEC1_1.3,1.3.6,GIR/CE[n]/EntityID,CE Entity ID,Unique identifier per entity,Text,Yes (per CE),<EntityID>,Must be unique within GIR,Entity database,,,PENDING,Internal reference
SEC1_1.3,1.3.7,GIR/CE[n]/LegalName,CE Legal Name,Registered legal name of entity,Text,Yes (per CE),<LegalName>,Cannot be empty - must match registered name,Company records,,,PENDING,Full legal name
SEC1_1.3,1.3.8,GIR/CE[n]/TIN,CE TIN,Tax identification number of CE,Text,Conditional,<TIN>,Valid TIN format or NOTIN if not issued,Tax registration,,,PENDING,NOTIN acceptable
SEC1_1.3,1.3.9,GIR/CE[n]/TINIssuedBy,CE TIN Jurisdiction,Country that issued TIN,ISO3166-Alpha2,Conditional,<TINIssuedBy>,Valid ISO code if TIN provided,Tax registration,,,PENDING,Required if TIN provided
SEC1_1.3,1.3.10,GIR/CE[n]/Country,CE Jurisdiction,Tax jurisdiction of Constituent Entity,ISO3166-Alpha2,Yes (per CE),<Country>,Valid ISO 3166-1 alpha-2 country code,Entity database,,,PENDING,Location for GloBE
SEC1_1.3,1.3.11,GIR/CE[n]/EntityType,CE Entity Type,Legal form - Corporation/Partnership/PE/Trust,Enum,Yes (per CE),<EntityType>,Valid GloBE entity type code,Entity database,,,PENDING,Legal classification
SEC1_1.3,1.3.12,GIR/CE[n]/GloBEStatus,GloBE Classification,Status - UPE/CE/PE/POPE/Excluded,Enum,Yes (per CE),<GloBEStatus>,Valid GloBE status code,Entity database,,,PENDING,Determines treatment
SEC1_1.3,1.3.13,GIR/CE[n]/Ownership,UPE Ownership %,Ultimate ownership percentage,Decimal,Yes (per CE),<Ownership>,0.00-100.00 valid percentage,Ownership records,,,PENDING,Chain calculation
SEC1_1.3,1.3.14,GIR/CE[n]/ConsolidationMethod,Consolidation Method,How entity consolidated - Full/Equity/Proportionate,Enum,Yes (per CE),<ConsolidationMethod>,Full or Equity or Proportionate,Accounting policy,,,PENDING,Per accounting standards
SEC1_1.3,1.3.15,GIR/CE[n]/ParentEntityID,Parent Entity ID,Entity ID of immediate parent,Text,Yes (per CE),<ParentEntityID>,Must reference valid EntityID,Entity database,,,PENDING,Ownership chain
SEC1_1.3,1.3.16,GIR/CE[n]/DirectOwnership,Direct Ownership %,Immediate parent ownership,Decimal,Yes (per CE),<DirectOwnership>,0.00-100.00 valid percentage,Ownership records,,,PENDING,Single level
SEC1_1.3,1.3.17,GIR/CE[n]/NACE,NACE Code,Main business activity code,Text,No,<NACECode>,Valid 4-digit NACE code if provided,Entity database,,,PENDING,Primary activity
SEC1_1.3,1.3.18,GIR/CE[n]/LEI,Legal Entity Identifier,20-character global identifier,Text,No,<LEI>,Valid LEI format if provided,Entity database,,,PENDING,Optional identifier
SEC1_1.3,1.3.19,GIR/CE[n]/IncorporationDate,Incorporation Date,Date entity was incorporated,Date,No,<IncorporationDate>,Valid date format,Company records,,,PENDING,For transitional rules
SEC1_1.3,1.3.20,GIR/CE[n]/FunctionalCurrency,Functional Currency,Entity functional currency,ISO4217,Yes (per CE),<FunctionalCurrency>,Valid ISO 4217 currency code,Accounting records,,,PENDING,For translation
,,,,,,,,,,,,,
SECTION_1_HEADER,,,1.4 High-Level Summary,,,,,,,,,
,,,,,,,,,,,,,
SEC1_1.4,1.4.1,GIR/Summary/ConsolidatedRevenue,Consolidated Revenue,Total group consolidated revenue (EUR),Decimal,Yes,<ConsolidatedRevenue>,Must be >= 750000000 if in scope,CFS,,,PENDING,Threshold test
SEC1_1.4,1.4.2,GIR/Summary/TotalAssets,Total Consolidated Assets,Total group assets (EUR),Decimal,No,<TotalAssets>,Must be >= 0,CFS,,,PENDING,Reference only
SEC1_1.4,1.4.3,GIR/Summary/TotalEmployees,Total Employees,Worldwide employee count,Integer,No,<TotalEmployees>,Must be >= 0,HR system,,,PENDING,For UTPR allocation
SEC1_1.4,1.4.4,GIR/Summary/AccountingStandard,Accounting Framework,IFRS or Local GAAP or US GAAP,Enum,Yes,<AccountingStandard>,Valid accounting framework,Accounting policy,,,PENDING,Affects adjustments
SEC1_1.4,1.4.5,GIR/Summary/AuditStatus,Financial Statement Audit,Audited or Unaudited,Enum,Yes,<AuditStatus>,Audited or Unaudited,Audit records,,,PENDING,Data quality indicator
,,,,,,,,,,,,,
SECTION_2,,,SECTION 2: SAFE HARBOURS AND EXCLUSIONS (40+ Data Points),,,,,,,,,
,,,,,,,,,,,,,
SECTION_2_HEADER,,,2.1 Transitional CbCR Safe Harbour (TSH),,,,,,,,,
,,,,,,,,,,,,,
SEC2_TSH,2.1.1,GIR/SafeHarbour/TSH/Jurisdiction,TSH Jurisdiction,Jurisdiction for transitional safe harbour election,ISO3166-Alpha2,Conditional,<TSHJurisdiction>,Valid ISO country code - repeats per jurisdiction,Analysis,,,PENDING,Per jurisdiction
SEC2_TSH,2.1.2,GIR/SafeHarbour/TSH/Election,TSH Election Made,Whether TSH elected for jurisdiction,Boolean,Conditional,<TSHElection>,TRUE or FALSE,Election records,,,PENDING,5-year binding
SEC2_TSH,2.1.3,GIR/SafeHarbour/TSH/ElectionDate,TSH Election Date,Date election first made,Date,Conditional,<TSHElectionDate>,Valid date if election made,Election records,,,PENDING,Audit trail
SEC2_TSH,2.1.4,GIR/SafeHarbour/TSH/Test,TSH Test Applied,Which test qualifies - De Minimis/Routine Profits/ETR,Enum,Conditional,<TSHTest>,DM or RP or ETR - only one needed,Calculation,,,PENDING,Any test passes
SEC2_TSH,2.1.5,GIR/SafeHarbour/TSH/Revenue,CbCR Revenue,Revenue per CbCR for jurisdiction (EUR),Decimal,Conditional,<TSHRevenue>,Must be >= 0 - from qualified CbCR,CbCR,,,PENDING,CbCR Table 1
SEC2_TSH,2.1.6,GIR/SafeHarbour/TSH/PBT,CbCR Profit Before Tax,PBT per CbCR for jurisdiction (EUR),Decimal,Conditional,<TSHPBT>,Can be negative - from qualified CbCR,CbCR,,,PENDING,CbCR Table 1
SEC2_TSH,2.1.7,GIR/SafeHarbour/TSH/Tax,CbCR Tax Accrued,Tax accrued per CbCR (EUR),Decimal,Conditional,<TSHTax>,Can be negative - from qualified CbCR,CbCR,,,PENDING,CbCR Table 1
SEC2_TSH,2.1.8,GIR/SafeHarbour/TSH/SimplifiedETR,Simplified ETR,Tax/PBT from CbCR data,Decimal,Calculated,<SimplifiedETR>,Auto-calculated percentage,Calculator,,,PENDING,Test 2 metric
SEC2_TSH,2.1.9,GIR/SafeHarbour/TSH/TransitionRate,Transition ETR Threshold,Applicable threshold for year (15-16%),Decimal,Reference,<TransitionRate>,15% 2024-2025 then 16% 2026,Reference data,,,PENDING,Year dependent
SEC2_TSH,2.1.10,GIR/SafeHarbour/TSH/Payroll,CbCR Payroll,Employee costs per CbCR (EUR),Decimal,Conditional,<TSHPayroll>,Must be >= 0 - from qualified CbCR,CbCR,,,PENDING,CbCR Table 1
SEC2_TSH,2.1.11,GIR/SafeHarbour/TSH/TangibleAssets,CbCR Tangible Assets,Tangible assets per CbCR (EUR),Decimal,Conditional,<TSHTangible>,Must be >= 0 - from qualified CbCR,CbCR,,,PENDING,CbCR Table 1
SEC2_TSH,2.1.12,GIR/SafeHarbour/TSH/SBIEAmount,SBIE for Routine Test,Substance exclusion for Test 3,Decimal,Calculated,<TSHSBIE>,Auto-calculated from CbCR data,Calculator,,,PENDING,Payroll + Tangible
SEC2_TSH,2.1.13,GIR/SafeHarbour/TSH/DeMinimisResult,De Minimis Test Result,Revenue < EUR 10M AND PBT < EUR 1M,Boolean,Calculated,<TSHDMResult>,TRUE if both thresholds met,Calculator,,,PENDING,Test 1 result
SEC2_TSH,2.1.14,GIR/SafeHarbour/TSH/ETRResult,Simplified ETR Test Result,ETR >= transition threshold,Boolean,Calculated,<TSHETRResult>,TRUE if ETR >= threshold,Calculator,,,PENDING,Test 2 result
SEC2_TSH,2.1.15,GIR/SafeHarbour/TSH/RoutineResult,Routine Profits Test Result,PBT <= SBIE amount,Boolean,Calculated,<TSHRoutineResult>,TRUE if PBT <= SBIE,Calculator,,,PENDING,Test 3 result
SEC2_TSH,2.1.16,GIR/SafeHarbour/TSH/Qualified,TSH Qualification Status,Overall TSH qualification,Boolean,Calculated,<TSHQualified>,TRUE if any test passes,Calculator,,,PENDING,Final determination
SEC2_TSH,2.1.17,GIR/SafeHarbour/TSH/TopUpTax,Deemed Top-Up Tax,Zero if TSH qualified,Decimal,Calculated,<TSHTopUp>,0 if Qualified=TRUE else N/A,Calculator,,,PENDING,Simplified result
,,,,,,,,,,,,,
SECTION_2_HEADER,,,2.2 QDMTT Safe Harbour,,,,,,,,,
,,,,,,,,,,,,,
SEC2_QDMTT,2.2.1,GIR/SafeHarbour/QDMTT/Jurisdiction,QDMTT SH Jurisdiction,Jurisdiction claiming QDMTT safe harbour,ISO3166-Alpha2,Conditional,<QDMTTSHJurisdiction>,Must have implemented qualified QDMTT,Analysis,,,PENDING,Check IF status
SEC2_QDMTT,2.2.2,GIR/SafeHarbour/QDMTT/Election,QDMTT SH Election,Whether QDMTT SH elected,Boolean,Conditional,<QDMTTSHElection>,TRUE or FALSE,Election records,,,PENDING,Annual election
SEC2_QDMTT,2.2.3,GIR/SafeHarbour/QDMTT/Qualified,QDMTT Qualified Status,Confirmation QDMTT is IF-qualified,Boolean,Conditional,<QDMTTQualified>,Must be TRUE for safe harbour,IF review,,,PENDING,Peer review status
SEC2_QDMTT,2.2.4,GIR/SafeHarbour/QDMTT/ImplementationDate,QDMTT Implementation Date,Date jurisdiction implemented QDMTT,Date,Conditional,<QDMTTImplDate>,Valid date,Reference data,,,PENDING,Effective date
SEC2_QDMTT,2.2.5,GIR/SafeHarbour/QDMTT/Consistency,QDMTT Consistency,QDMTT consistent with GloBE rules,Boolean,Conditional,<QDMTTConsistent>,Must be TRUE for credit,Analysis,,,PENDING,Key requirement
SEC2_QDMTT,2.2.6,GIR/SafeHarbour/QDMTT/Amount,QDMTT Amount Paid,Top-up tax paid under QDMTT (EUR),Decimal,Conditional,<QDMTTAmount>,Must be >= 0 - from local return,Local return,,,PENDING,Credit amount
SEC2_QDMTT,2.2.7,GIR/SafeHarbour/QDMTT/FilingReference,QDMTT Filing Reference,Reference to local QDMTT filing,Text,Conditional,<QDMTTRef>,Filing reference number,Local filing,,,PENDING,Audit trail
,,,,,,,,,,,,,
SECTION_2_HEADER,,,2.3 Transitional UTPR Safe Harbour,,,,,,,,,
,,,,,,,,,,,,,
SEC2_UTPR,2.3.1,GIR/SafeHarbour/UTPR/Election,UTPR SH Election,Whether transitional UTPR SH elected,Boolean,Conditional,<UTPRSHElection>,TRUE or FALSE - transitional only,Election records,,,PENDING,Initial periods
SEC2_UTPR,2.3.2,GIR/SafeHarbour/UTPR/UPEJurisdiction,UPE Jurisdiction,Location of UPE for UTPR SH,ISO3166-Alpha2,Conditional,<UPEJurisdiction>,Valid ISO country code,Entity database,,,PENDING,Rate verification
SEC2_UTPR,2.3.3,GIR/SafeHarbour/UTPR/CITRate,UPE Jurisdiction CIT Rate,Corporate tax rate in UPE jurisdiction,Decimal,Conditional,<UPECITRate>,Must be >= 20% for safe harbour,Tax research,,,PENDING,20% threshold
SEC2_UTPR,2.3.4,GIR/SafeHarbour/UTPR/Qualified,UTPR SH Qualification,Whether UTPR SH applies,Boolean,Calculated,<UTPRSHQualified>,TRUE if CIT >= 20%,Calculator,,,PENDING,Rate test
,,,,,,,,,,,,,
SECTION_2_HEADER,,,2.4 Excluded Entities and Jurisdictions,,,,,,,,,
,,,,,,,,,,,,,
SEC2_EXCL,2.4.1,GIR/Exclusions/GovernmentEntity,Government Entity Exclusion,Article 1.5.1 exclusion claimed,Boolean,No,<ExclGovt>,TRUE if government entities excluded,Legal analysis,,,PENDING,Per model rules
SEC2_EXCL,2.4.2,GIR/Exclusions/InternationalOrg,International Org Exclusion,Article 1.5.2 exclusion claimed,Boolean,No,<ExclIntlOrg>,TRUE if intl orgs excluded,Legal analysis,,,PENDING,Per model rules
SEC2_EXCL,2.4.3,GIR/Exclusions/NonProfit,Non-Profit Exclusion,Article 1.5.3 exclusion claimed,Boolean,No,<ExclNonProfit>,TRUE if non-profits excluded,Legal analysis,,,PENDING,Per model rules
SEC2_EXCL,2.4.4,GIR/Exclusions/PensionFund,Pension Fund Exclusion,Article 1.5.4 exclusion claimed,Boolean,No,<ExclPension>,TRUE if pension funds excluded,Legal analysis,,,PENDING,Per model rules
SEC2_EXCL,2.4.5,GIR/Exclusions/InvestmentFund,Investment Fund Exclusion,Article 1.5.5 exclusion claimed,Boolean,No,<ExclInvFund>,TRUE if investment funds excluded,Legal analysis,,,PENDING,Per model rules
SEC2_EXCL,2.4.6,GIR/Exclusions/REIV,Real Estate Vehicle Exclusion,Article 1.5.6 exclusion claimed,Boolean,No,<ExclREIV>,TRUE if REIVs excluded,Legal analysis,,,PENDING,Per model rules
SEC2_EXCL,2.4.7,GIR/Exclusions/MinorityOwned,Minority-Owned CE Exclusion,Less than 30% ownership exclusion,Boolean,No,<ExclMinority>,TRUE if minority CEs excluded,Ownership analysis,,,PENDING,< 30% ownership
SEC2_EXCL,2.4.8,GIR/Exclusions/DeMinimis,De Minimis Exclusion,Jurisdiction de minimis exclusion,Boolean,No,<ExclDeMinimis>,TRUE if Rev < EUR 10M and PBT < EUR 1M,Calculation,,,PENDING,Per jurisdiction
SEC2_EXCL,2.4.9,GIR/Exclusions/Documentation,Exclusion Documentation,Supporting documentation reference,Text,Conditional,<ExclDocRef>,File reference required if exclusions claimed,Document mgmt,,,PENDING,Audit support
,,,,,,,,,,,,,
SECTION_3,,,SECTION 3: GloBE COMPUTATIONS - Per Jurisdiction (400+ Data Points),,,,,,,,,
,,,,,,,,,,,,,
SECTION_3_HEADER,,,3.1 Jurisdiction Identification,,,,,,,,,
,,,,,,,,,,,,,
SEC3_3.1,3.1.1,GIR/Jurisdiction[n]/Code,Jurisdiction Code,ISO country code for computation jurisdiction,ISO3166-Alpha2,Yes,<JurisdictionCode>,Valid ISO 3166-1 alpha-2 code,Entity database,,,PENDING,Per jurisdiction
SEC3_3.1,3.1.2,GIR/Jurisdiction[n]/Name,Jurisdiction Name,Full country name,Text,Yes,<JurisdictionName>,Standard country name,Reference data,,,PENDING,For reporting
SEC3_3.1,3.1.3,GIR/Jurisdiction[n]/CECount,CE Count in Jurisdiction,Number of CEs in this jurisdiction,Integer,Yes,<JurisdictionCECount>,Must be >= 1,Entity database,,,PENDING,Entity count
SEC3_3.1,3.1.4,GIR/Jurisdiction[n]/ComputationRequired,Full Computation Required,Whether Section 3 detail required,Boolean,Calculated,<CompRequired>,FALSE if safe harbour applies,Calculator,,,PENDING,SH override
,,,,,,,,,,,,,
SECTION_3_HEADER,,,3.2 GloBE Income Computation,,,,,,,,,
,,,,,,,,,,,,,
SEC3_3.2,3.2.1,GIR/Jurisdiction[n]/FANI,Financial Accounting Net Income,Starting point per consolidated accounts (EUR),Decimal,Yes,<FANI>,From consolidated financial statements,CFS,,,PENDING,Per accounts
SEC3_3.2,3.2.2,GIR/Jurisdiction[n]/NetTaxAdj,Net Tax Expense Adjustment,Add back income tax expense (EUR),Decimal,Yes,<NetTaxAdj>,Usually positive - current plus deferred tax,CFS,,,PENDING,Remove tax P&L
SEC3_3.2,3.2.3,GIR/Jurisdiction[n]/ExclDividends,Excluded Dividends,Qualifying dividend exclusion (EUR),Decimal,No,<ExclDividends>,Usually negative - Article 3.2.1(a),Calculation,,,PENDING,Portfolio dividends
SEC3_3.2,3.2.4,GIR/Jurisdiction[n]/ExclEquity,Excluded Equity Gains/Losses,Portfolio shareholding exclusion (EUR),Decimal,No,<ExclEquity>,Can be positive or negative - Article 3.2.1(b),Calculation,,,PENDING,Ownership interest
SEC3_3.2,3.2.5,GIR/Jurisdiction[n]/AsymCurrency,Asymmetric Currency Gains/Losses,FX adjustment (EUR),Decimal,No,<AsymCurrency>,Can be positive or negative - Article 3.2.1(c),Calculation,,,PENDING,Functional currency
SEC3_3.2,3.2.6,GIR/Jurisdiction[n]/PolicyDisallowed,Policy Disallowed Expenses,Fines bribes illegal payments (EUR),Decimal,No,<PolicyDisallowed>,Usually positive - Article 3.2.1(d),Calculation,,,PENDING,Non-deductible
SEC3_3.2,3.2.7,GIR/Jurisdiction[n]/PriorPeriod,Prior Period Errors/Adjustments,Material restatements (EUR),Decimal,No,<PriorPeriod>,Can be positive or negative - Article 3.2.1(e),Calculation,,,PENDING,Restatements
SEC3_3.2,3.2.8,GIR/Jurisdiction[n]/AccruedPension,Accrued Pension Expense,Pension timing adjustment (EUR),Decimal,No,<AccruedPension>,Can be positive or negative - Article 3.2.1(f),Calculation,,,PENDING,Funding vs accrual
SEC3_3.2,3.2.9,GIR/Jurisdiction[n]/StockComp,Stock-Based Compensation,SBC timing adjustment (EUR),Decimal,No,<StockComp>,Can be positive or negative - Article 3.2.2,Calculation,,,PENDING,Election available
SEC3_3.2,3.2.10,GIR/Jurisdiction[n]/FairValue,Fair Value Adjustments,Mark-to-market adjustments (EUR),Decimal,No,<FairValue>,Can be positive or negative - Article 3.2.1(g),Calculation,,,PENDING,Asset revaluation
SEC3_3.2,3.2.11,GIR/Jurisdiction[n]/IntlShipping,International Shipping Exclusion,Qualifying shipping income (EUR),Decimal,No,<IntlShipping>,Usually negative - Article 3.3,Calculation,,,PENDING,Special regime
SEC3_3.2,3.2.12,GIR/Jurisdiction[n]/RecharIncome,Recharacterised Income,Income recharacterised (EUR),Decimal,No,<RecharIncome>,Can be positive or negative - Article 3.2.2,Calculation,,,PENDING,Anti-avoidance
SEC3_3.2,3.2.13,GIR/Jurisdiction[n]/IntraGroup,Intra-Group Adjustments,Related party transaction adjustments (EUR),Decimal,No,<IntraGroup>,Can be positive or negative - arm's length,Calculation,,,PENDING,TP adjustments
SEC3_3.2,3.2.14,GIR/Jurisdiction[n]/OtherAdj,Other GloBE Adjustments,All other adjustments (EUR),Decimal,No,<OtherAdj>,Can be positive or negative - catch-all,Calculation,,,PENDING,Miscellaneous
SEC3_3.2,3.2.15,GIR/Jurisdiction[n]/GloBEIncome,Total GloBE Income,Sum of FANI plus all adjustments (EUR),Decimal,Calculated,<GloBEIncome>,Auto-calculated - can be negative (loss),Calculator,,,PENDING,Key output
SEC3_3.2,3.2.16,GIR/Jurisdiction[n]/GloBELossCF,GloBE Loss Carryforward,Prior year GloBE losses available (EUR),Decimal,No,<GloBELossCF>,Must be >= 0 - from prior periods,Prior GIR,,,PENDING,Loss utilisation
SEC3_3.2,3.2.17,GIR/Jurisdiction[n]/NetGloBEIncome,Net GloBE Income After Losses,GloBE Income less loss offset (EUR),Decimal,Calculated,<NetGloBEIncome>,Auto-calculated,Calculator,,,PENDING,For ETR calc
,,,,,,,,,,,,,
SECTION_3_HEADER,,,3.3 Adjusted Covered Taxes,,,,,,,,,
,,,,,,,,,,,,,
SEC3_3.3,3.3.1,GIR/Jurisdiction[n]/CurrentTax,Current Tax Expense,Per financial statements (EUR),Decimal,Yes,<CurrentTax>,From P&L - can be negative,CFS,,,PENDING,Primary input
SEC3_3.3,3.3.2,GIR/Jurisdiction[n]/DeferredTax,Deferred Tax Expense,Per financial statements (EUR),Decimal,Yes,<DeferredTax>,From P&L - can be negative,CFS,,,PENDING,P&L movement
SEC3_3.3,3.3.3,GIR/Jurisdiction[n]/DTACapped,DTA Adjustment to 15%,DTA capped at 15% rate (EUR),Decimal,Calculated,<DTACapped>,Auto-calculated - 15% cap,Calculator,,,PENDING,Rate adjustment
SEC3_3.3,3.3.4,GIR/Jurisdiction[n]/DTLCapped,DTL Adjustment to 15%,DTL capped at 15% rate (EUR),Decimal,Calculated,<DTLCapped>,Auto-calculated - 15% cap,Calculator,,,PENDING,Rate adjustment
