Data_Point_ID,GIR_Section,Sub_Section,Data_Element_Name,Description,Data_Type,Required,XML_Element_Path,Source_System,Data_Owner,Priority,Validation_Rule,Notes,Collection_Status
S1-036,Section 1,1.4 Summary Info,FilingPeriodStart,Start date of fiscal period,Date,Yes,GIR/Summary/PeriodStart,Financial Calendar,Group Tax,Critical,Valid date format,Usually 01-Jan,Not Started
S1-037,Section 1,1.4 Summary Info,FilingPeriodEnd,End date of fiscal period,Date,Yes,GIR/Summary/PeriodEnd,Financial Calendar,Group Tax,Critical,Valid date format,Usually 31-Dec,Not Started
S1-038,Section 1,1.4 Summary Info,GIRVersion,Version of GIR XML schema used,String,Yes,GIR/Summary/SchemaVersion,GIR Configuration,Tax Technology,Critical,Valid schema version,v2.0 per OECD Jan 2025,Not Started
S1-039,Section 1,1.4 Summary Info,SubmissionType,Type of submission (Original/Amended),Enumeration,Yes,GIR/Summary/SubmissionType,GIR Configuration,Group Tax,Critical,Original or Amended,Track amendments,Not Started
S1-040,Section 1,1.4 Summary Info,AmendmentReason,Reason for amendment if applicable,String,Conditional,GIR/Summary/AmendmentReason,GIR Configuration,Group Tax,High,Required if Amended,Audit trail,Not Started
S1-041,Section 1,1.4 Summary Info,TotalJurisdictionsReporting,Count of jurisdictions in GIR,Integer,Yes,GIR/Summary/TotalJurisdictions,GIR Calculation,Group Tax,High,Positive integer,Summary statistic,Not Started
S1-042,Section 1,1.4 Summary Info,TotalTopUpTax,Total top-up tax across all jurisdictions,Decimal,Yes,GIR/Summary/TotalTopUpTax,GIR Calculation,Group Tax,Critical,>= 0,Key output metric,Not Started
S1-043,Section 1,1.4 Summary Info,TotalIIRAllocation,Total IIR allocation amount,Decimal,Yes,GIR/Summary/TotalIIR,GIR Calculation,Group Tax,Critical,>= 0,IIR component,Not Started
S1-044,Section 1,1.4 Summary Info,TotalUTPRAllocation,Total UTPR allocation amount,Decimal,Yes,GIR/Summary/TotalUTPR,GIR Calculation,Group Tax,Critical,>= 0,UTPR component,Not Started
S1-045,Section 1,1.4 Summary Info,TotalQDMTTCredit,Total QDMTT credits claimed,Decimal,Yes,GIR/Summary/TotalQDMTT,GIR Calculation,Group Tax,Critical,>= 0,QDMTT offset,Not Started
S1-046,Section 1,1.4 Summary Info,SafeHarbourJurisdictions,Count using safe harbour,Integer,Yes,GIR/Summary/SafeHarbourCount,GIR Calculation,Group Tax,High,>= 0,Simplified calculation,Not Started
S1-047,Section 1,1.4 Summary Info,ExcludedEntityCount,Count of excluded entities,Integer,Yes,GIR/Summary/ExcludedCount,GIR Calculation,Group Tax,Medium,>= 0,Tracking exclusions,Not Started
S1-048,Section 1,1.4 Summary Info,DeclarationDate,Date of GIR declaration,Date,Yes,GIR/Summary/DeclarationDate,GIR Configuration,Group Tax,Critical,Valid date format,Submission timestamp,Not Started
S1-049,Section 1,1.4 Summary Info,DeclarationSignatory,Name of authorized signatory,String,Yes,GIR/Summary/Signatory,HR System,Group Tax,Critical,Authorized person,Legal responsibility,Not Started
S1-050,Section 1,1.4 Summary Info,DeclarationPosition,Position of signatory,String,Yes,GIR/Summary/SignatoryPosition,HR System,Group Tax,High,Job title,Authority verification,Not Started
S2-001,Section 2,2.1 Jurisdiction Chars,JurisdictionCode,Two-letter jurisdiction code,Country Code,Yes,GIR/Jurisdictions/Jurisdiction/Code,Reference Data,Group Tax,Critical,ISO 3166-1 alpha-2,Per jurisdiction row,Not Started
S2-002,Section 2,2.1 Jurisdiction Chars,JurisdictionName,Full jurisdiction name,String,Yes,GIR/Jurisdictions/Jurisdiction/Name,Reference Data,Group Tax,High,Standard country name,For reporting,Not Started
S2-003,Section 2,2.1 Jurisdiction Chars,StatutoryTaxRate,Statutory corporate tax rate,Decimal,Yes,GIR/Jurisdictions/Jurisdiction/StatRate,Reference Data,Group Tax,High,0-100 percentage,Current rate,Not Started
S2-004,Section 2,2.1 Jurisdiction Chars,QualifiedIIR,Has jurisdiction implemented qualified IIR,Boolean,Yes,GIR/Jurisdictions/Jurisdiction/QIIR,Reference Data,Group Tax,Critical,True/False,Determines priority,Not Started
S2-005,Section 2,2.1 Jurisdiction Chars,QualifiedUTPR,Has jurisdiction implemented qualified UTPR,Boolean,Yes,GIR/Jurisdictions/Jurisdiction/QUTPR,Reference Data,Group Tax,Critical,True/False,Backstop mechanism,Not Started
S2-006,Section 2,2.1 Jurisdiction Chars,QualifiedDMTT,Has jurisdiction implemented QDMTT,Boolean,Yes,GIR/Jurisdictions/Jurisdiction/QDMTT,Reference Data,Group Tax,Critical,True/False,Primary top-up,Not Started
S2-007,Section 2,2.1 Jurisdiction Chars,ImplementationDate,Date GloBE rules effective,Date,Yes,GIR/Jurisdictions/Jurisdiction/EffectiveDate,Reference Data,Group Tax,High,Valid date format,Determines applicability,Not Started
S2-008,Section 2,2.1 Jurisdiction Chars,CECountInJurisdiction,Number of CEs in jurisdiction,Integer,Yes,GIR/Jurisdictions/Jurisdiction/CECount,Legal Entity Master,Group Tax,High,Positive integer,Per jurisdiction,Not Started
S2-009,Section 2,2.1 Jurisdiction Chars,MaterialCEPresence,Material presence in jurisdiction,Boolean,Yes,GIR/Jurisdictions/Jurisdiction/Material,GIR Analysis,Group Tax,High,True/False,Affects filing,Not Started
S2-010,Section 2,2.1 Jurisdiction Chars,TaxTreatyNetwork,Key tax treaty relationships,String,No,GIR/Jurisdictions/Jurisdiction/Treaties,Reference Data,Group Tax,Low,Free text,For planning,Not Started
S2-011,Section 2,2.2 TCbCR Safe Harbour,TCbCRSHEligible,Eligible for Transitional CbCR Safe Harbour,Boolean,Yes,GIR/SafeHarbours/TCbCR/Eligible,GIR Analysis,Group Tax,Critical,True/False,Per jurisdiction,Not Started
S2-012,Section 2,2.2 TCbCR Safe Harbour,TCbCRSHElected,Election to apply TCbCR Safe Harbour,Boolean,Conditional,GIR/SafeHarbours/TCbCR/Elected,GIR Configuration,Group Tax,Critical,True/False,If eligible,Not Started
S2-013,Section 2,2.2 TCbCR Safe Harbour,DeMinimisTestMet,Revenue < EUR 10M and PBT < EUR 1M,Boolean,Conditional,GIR/SafeHarbours/TCbCR/DeMinimis,GIR Calculation,Group Tax,High,True/False,Test 1 of 3,Not Started
S2-014,Section 2,2.2 TCbCR Safe Harbour,DeMinimisRevenue,CbCR Revenue for jurisdiction,Decimal,Conditional,GIR/SafeHarbours/TCbCR/Revenue,CbCR Data,Group Tax,High,>= 0,From CbCR,Not Started
S2-015,Section 2,2.2 TCbCR Safe Harbour,DeMinimisProfit,CbCR PBT for jurisdiction,Decimal,Conditional,GIR/SafeHarbours/TCbCR/PBT,CbCR Data,Group Tax,High,Any value,From CbCR,Not Started
S2-016,Section 2,2.2 TCbCR Safe Harbour,SimplifiedETRTestMet,Simplified ETR >= transition rate,Boolean,Conditional,GIR/SafeHarbours/TCbCR/ETRTest,GIR Calculation,Group Tax,High,True/False,Test 2 of 3,Not Started
S2-017,Section 2,2.2 TCbCR Safe Harbour,SimplifiedETR,Calculated simplified ETR percentage,Decimal,Conditional,GIR/SafeHarbours/TCbCR/ETR,GIR Calculation,Group Tax,High,0-100 percentage,Tax/PBT ratio,Not Started
S2-018,Section 2,2.2 TCbCR Safe Harbour,TransitionETRRate,Applicable transition rate for year,Decimal,Yes,GIR/SafeHarbours/TCbCR/TransitionRate,Reference Data,Group Tax,High,15-16 percentage,Year dependent,Not Started
S2-019,Section 2,2.2 TCbCR Safe Harbour,RoutineProfitsTestMet,PBT <= SBIE amount,Boolean,Conditional,GIR/SafeHarbours/TCbCR/RoutineTest,GIR Calculation,Group Tax,High,True/False,Test 3 of 3,Not Started
S2-020,Section 2,2.2 TCbCR Safe Harbour,SBIEAmountForTest,SBIE calculation for routine test,Decimal,Conditional,GIR/SafeHarbours/TCbCR/SBIEAmount,GIR Calculation,Group Tax,High,>= 0,Payroll + Tangible,Not Started
S2-021,Section 2,2.2 TCbCR Safe Harbour,TCbCRQualifyingTest,Which test qualified (1/2/3),Enumeration,Conditional,GIR/SafeHarbours/TCbCR/QualifyingTest,GIR Calculation,Group Tax,High,DeMinimis/ETR/Routine,Only one needed,Not Started
S2-022,Section 2,2.3 QDMTT Safe Harbour,QDMTTSHEligible,Eligible for QDMTT Safe Harbour,Boolean,Yes,GIR/SafeHarbours/QDMTT/Eligible,GIR Analysis,Group Tax,Critical,True/False,Per jurisdiction,Not Started
S2-023,Section 2,2.3 QDMTT Safe Harbour,QDMTTSHElected,Election to apply QDMTT Safe Harbour,Boolean,Conditional,GIR/SafeHarbours/QDMTT/Elected,GIR Configuration,Group Tax,Critical,True/False,If eligible,Not Started
S2-024,Section 2,2.3 QDMTT Safe Harbour,QDMTTAccountingStandard,Accounting standard for QDMTT,Enumeration,Conditional,GIR/SafeHarbours/QDMTT/AcctStd,Reference Data,Group Tax,High,GloBE consistent,Consistency required,Not Started
S2-025,Section 2,2.3 QDMTT Safe Harbour,QDMTTConsistency,QDMTT consistent with GloBE rules,Boolean,Conditional,GIR/SafeHarbours/QDMTT/Consistent,GIR Analysis,Group Tax,Critical,True/False,Must be True,Not Started
S2-026,Section 2,2.3 QDMTT Safe Harbour,QDMTTCreditMechanism,Credit mechanism available,Boolean,Conditional,GIR/SafeHarbours/QDMTT/CreditMech,Reference Data,Group Tax,High,True/False,Reduces IIR/UTPR,Not Started
S2-027,Section 2,2.3 QDMTT Safe Harbour,QDMTTAmountPaid,QDMTT amount paid in jurisdiction,Decimal,Conditional,GIR/SafeHarbours/QDMTT/AmountPaid,Tax Provision,Local Tax,Critical,>= 0,For credit,Not Started
S2-028,Section 2,2.4 UTPR Safe Harbour,UTPRSHEligible,Eligible for UTPR Safe Harbour,Boolean,Yes,GIR/SafeHarbours/UTPR/Eligible,GIR Analysis,Group Tax,High,True/False,Transitional only,Not Started
S2-029,Section 2,2.4 UTPR Safe Harbour,UTPRSHElected,Election to apply UTPR Safe Harbour,Boolean,Conditional,GIR/SafeHarbours/UTPR/Elected,GIR Configuration,Group Tax,High,True/False,If eligible,Not Started
S2-030,Section 2,2.4 UTPR Safe Harbour,UPEJurisdictionRate,Statutory rate in UPE jurisdiction,Decimal,Conditional,GIR/SafeHarbours/UTPR/UPERate,Reference Data,Group Tax,High,0-100 percentage,Must be >= 20%,Not Started
S2-031,Section 2,2.5 Exclusions,ExcludedEntitiesInJuris,List of excluded entities per jurisdiction,String,No,GIR/Exclusions/ExcludedEntities,Legal Entity Master,Group Tax,Medium,Entity names,Comma separated,Not Started
S2-032,Section 2,2.5 Exclusions,GovernmentEntityExclusion,Government entity exclusion applied,Boolean,No,GIR/Exclusions/GovernmentEntity,Legal Entity Master,Group Tax,Medium,True/False,Article 1.5.1,Not Started
S2-033,Section 2,2.5 Exclusions,InternationalOrgExclusion,International org exclusion applied,Boolean,No,GIR/Exclusions/IntlOrg,Legal Entity Master,Group Tax,Medium,True/False,Article 1.5.2,Not Started
S2-034,Section 2,2.5 Exclusions,NonProfitExclusion,Non-profit exclusion applied,Boolean,No,GIR/Exclusions/NonProfit,Legal Entity Master,Group Tax,Medium,True/False,Article 1.5.3,Not Started
S2-035,Section 2,2.5 Exclusions,PensionFundExclusion,Pension fund exclusion applied,Boolean,No,GIR/Exclusions/PensionFund,Legal Entity Master,Group Tax,Medium,True/False,Article 1.5.4,Not Started
S2-036,Section 2,2.5 Exclusions,InvestmentFundExclusion,Investment fund exclusion applied,Boolean,No,GIR/Exclusions/InvestmentFund,Legal Entity Master,Group Tax,Medium,True/False,Article 1.5.5,Not Started
S2-037,Section 2,2.5 Exclusions,RealEstateVehicleExclusion,REIT exclusion applied,Boolean,No,GIR/Exclusions/REIV,Legal Entity Master,Group Tax,Medium,True/False,Article 1.5.6,Not Started
S2-038,Section 2,2.5 Exclusions,ExclusionDocumentation,Documentation for exclusions,String,Conditional,GIR/Exclusions/Documentation,Document Management,Group Tax,High,File reference,Audit support,Not Started
S2-039,Section 2,2.5 Exclusions,MinorityOwnedCEExclusion,Minority-owned CE exclusion,Boolean,No,GIR/Exclusions/MinorityOwned,Legal Entity Master,Group Tax,Medium,True/False,< 30% ownership,Not Started
S2-040,Section 2,2.5 Exclusions,DeMinimisExclusion,De minimis exclusion for jurisdiction,Boolean,No,GIR/Exclusions/DeMinimis,GIR Calculation,Group Tax,Medium,True/False,Rev < 10M and PBT < 1M,Not Started
S3-001,Section 3,3.1 GloBE Income,FinancialAccountingNetIncome,Net income per financial accounts,Decimal,Yes,GIR/GloBEComputation/GloBEIncome/FANI,Financial System,Local Finance,Critical,Any value,Starting point,Not Started
S3-002,Section 3,3.1 GloBE Income,NetTaxExpense,Income tax expense per accounts,Decimal,Yes,GIR/GloBEComputation/GloBEIncome/TaxExpense,Financial System,Local Finance,Critical,Any value,Current + Deferred,Not Started
S3-003,Section 3,3.1 GloBE Income,ExcludedDividends,Dividends to be excluded,Decimal,Yes,GIR/GloBEComputation/GloBEIncome/ExclDividends,Financial System,Local Finance,High,>= 0,Article 3.2.1(a),Not Started
S3-004,Section 3,3.1 GloBE Income,ExcludedEquityGainsLosses,Equity gains/losses to be excluded,Decimal,Yes,GIR/GloBEComputation/GloBEIncome/ExclEquity,Financial System,Local Finance,High,Any value,Article 3.2.1(b),Not Started
S3-005,Section 3,3.1 GloBE Income,IncludedRecharacterisedIncome,Recharacterised income to include,Decimal,Yes,GIR/GloBEComputation/GloBEIncome/RecharIncome,GIR Calculation,Group Tax,High,Any value,Article 3.2.2,Not Started
S3-006,Section 3,3.1 GloBE Income,ExcludedInternationalShipping,International shipping income excluded,Decimal,Yes,GIR/GloBEComputation/GloBEIncome/ExclShipping,Financial System,Local Finance,High,>= 0,Article 3.3,Not Started
S3-007,Section 3,3.1 GloBE Income,AsymmetricForeignCurrencyAdj,Asymmetric foreign currency adjustments,Decimal,Yes,GIR/GloBEComputation/GloBEIncome/FXAdj,GIR Calculation,Group Tax,Medium,Any value,Article 3.2.1(c),Not Started
S3-008,Section 3,3.1 GloBE Income,PolicyDisallowedExpenses,Policy disallowed expenses add-back,Decimal,Yes,GIR/GloBEComputation/GloBEIncome/PolicyExp,GIR Calculation,Group Tax,Medium,>= 0,Article 3.2.1(d),Not Started
S3-009,Section 3,3.1 GloBE Income,PriorPeriodErrors,Prior period error adjustments,Decimal,Yes,GIR/GloBEComputation/GloBEIncome/PriorErrors,GIR Calculation,Group Tax,Medium,Any value,Article 3.2.1(e),Not Started
S3-010,Section 3,3.1 GloBE Income,AccruedPensionExpense,Accrued pension expense adjustment,Decimal,Yes,GIR/GloBEComputation/GloBEIncome/PensionAdj,Financial System,Local Finance,Medium,Any value,Article 3.2.1(f),Not Started
S3-011,Section 3,3.1 GloBE Income,StockBasedCompensation,Stock-based compensation adjustment,Decimal,Yes,GIR/GloBEComputation/GloBEIncome/SBC,Financial System,Local Finance,Medium,Any value,Article 3.2.2,Not Started
S3-012,Section 3,3.1 GloBE Income,FairValueAccountingAdj,Fair value accounting adjustments,Decimal,Yes,GIR/GloBEComputation/GloBEIncome/FairValue,GIR Calculation,Group Tax,Medium,Any value,Article 3.2.1(g),Not Started
S3-013,Section 3,3.1 GloBE Income,AssetDisposalGainsLosses,Gains/losses on asset disposal,Decimal,Yes,GIR/GloBEComputation/GloBEIncome/AssetDisposal,Financial System,Local Finance,Medium,Any value,Article 3.2.1(h),Not Started
S3-014,Section 3,3.1 GloBE Income,IntraGroupTransactions,Intra-group transaction adjustments,Decimal,Yes,GIR/GloBEComputation/GloBEIncome/IntraGroup,Consolidation System,Group Finance,High,Any value,Arm's length,Not Started
S3-015,Section 3,3.1 GloBE Income,InsuranceCompanyAdj,Insurance company specific adjustments,Decimal,Conditional,GIR/GloBEComputation/GloBEIncome/Insurance,Financial System,Local Finance,Medium,Any value,If insurance CE,Not Started
S3-016,Section 3,3.1 GloBE Income,AdjustedGloBEIncome,Total GloBE Income after adjustments,Decimal,Yes,GIR/GloBEComputation/GloBEIncome/Adjusted,GIR Calculation,Group Tax,Critical,Any value,Sum of above,Not Started
S3-017,Section 3,3.1 GloBE Income,GloBELossCarryforward,GloBE Loss carried forward,Decimal,Yes,GIR/GloBEComputation/GloBEIncome/LossCF,GIR Calculation,Group Tax,High,>= 0,Prior year losses,Not Started
S3-018,Section 3,3.1 GloBE Income,NetGloBEIncomeAfterLoss,GloBE Income after loss offset,Decimal,Yes,GIR/GloBEComputation/GloBEIncome/NetIncome,GIR Calculation,Group Tax,Critical,Any value,For ETR calc,Not Started
S3-019,Section 3,3.2 Article 3.2 Adj,Art321aDividendExclusion,Article 3.2.1(a) dividend exclusion,Decimal,Yes,GIR/GloBEComputation/Art32/Dividends,GIR Calculation,Group Tax,High,>= 0,Portfolio dividends,Not Started
S3-020,Section 3,3.2 Article 3.2 Adj,Art321bEquityExclusion,Article 3.2.1(b) equity exclusion,Decimal,Yes,GIR/GloBEComputation/Art32/Equity,GIR Calculation,Group Tax,High,Any value,Ownership interest,Not Started
S3-021,Section 3,3.2 Article 3.2 Adj,Art321cForeignCurrency,Article 3.2.1(c) FX adjustments,Decimal,Yes,GIR/GloBEComputation/Art32/FX,GIR Calculation,Group Tax,Medium,Any value,Asymmetric gains,Not Started
S3-022,Section 3,3.2 Article 3.2 Adj,Art321dPolicyExpenses,Article 3.2.1(d) policy expenses,Decimal,Yes,GIR/GloBEComputation/Art32/Policy,GIR Calculation,Group Tax,Medium,>= 0,Illegal payments etc,Not Started
S3-023,Section 3,3.2 Article 3.2 Adj,Art321ePriorPeriod,Article 3.2.1(e) prior period errors,Decimal,Yes,GIR/GloBEComputation/Art32/PriorPeriod,GIR Calculation,Group Tax,Medium,Any value,Material errors,Not Started
S3-024,Section 3,3.2 Article 3.2 Adj,Art321fPensionLiability,Article 3.2.1(f) pension adjustment,Decimal,Yes,GIR/GloBEComputation/Art32/Pension,GIR Calculation,Group Tax,Medium,Any value,Funding vs accrual,Not Started
S3-025,Section 3,3.2 Article 3.2 Adj,Art322StockCompensation,Article 3.2.2 stock compensation,Decimal,Yes,GIR/GloBEComputation/Art32/Stock,GIR Calculation,Group Tax,Medium,Any value,Election available,Not Started
S3-026,Section 3,3.2 Article 3.2 Adj,Art323AsymmetricGains,Article 3.2.3 asymmetric gains,Decimal,Yes,GIR/GloBEComputation/Art32/AsymGains,GIR Calculation,Group Tax,Medium,Any value,Fair value option,Not Started
S3-027,Section 3,3.2 Article 3.2 Adj,Art324QualifyingRefTax,Article 3.2.4 refundable tax credits,Decimal,Yes,GIR/GloBEComputation/Art32/QRTC,GIR Calculation,Group Tax,High,>= 0,Treated as income,Not Started
S3-028,Section 3,3.2 Article 3.2 Adj,TotalArticle32Adjustments,Total Article 3.2 adjustments,Decimal,Yes,GIR/GloBEComputation/Art32/Total,GIR Calculation,Group Tax,Critical,Any value,Sum of adjustments,Not Started
S3-029,Section 3,3.3 Covered Taxes,CurrentTaxExpense,Current tax expense per accounts,Decimal,Yes,GIR/GloBEComputation/CoveredTaxes/CurrentTax,Tax Provision,Local Tax,Critical,Any value,P&L current tax,Not Started
S3-030,Section 3,3.3 Covered Taxes,DeferredTaxExpense,Deferred tax expense per accounts,Decimal,Yes,GIR/GloBEComputation/CoveredTaxes/DeferredTax,Tax Provision,Local Tax,Critical,Any value,P&L deferred tax,Not Started
S3-031,Section 3,3.3 Covered Taxes,TaxesRecordedInOCI,Taxes recorded in OCI,Decimal,Yes,GIR/GloBEComputation/CoveredTaxes/OCI,Tax Provision,Local Tax,Medium,Any value,Other comprehensive,Not Started
S3-032,Section 3,3.3 Covered Taxes,TaxesRecordedInEquity,Taxes recorded directly in equity,Decimal,Yes,GIR/GloBEComputation/CoveredTaxes/Equity,Tax Provision,Local Tax,Medium,Any value,Equity movements,Not Started
S3-033,Section 3,3.3 Covered Taxes,QualifiedDomesticMinTax,Qualified Domestic Minimum Tax,Decimal,Yes,GIR/GloBEComputation/CoveredTaxes/QDMTT,Tax Provision,Local Tax,Critical,>= 0,Local top-up,Not Started
S3-034,Section 3,3.3 Covered Taxes,QualifiedIIR,Qualified IIR tax paid,Decimal,Yes,GIR/GloBEComputation/CoveredTaxes/IIR,Tax Provision,Local Tax,Critical,>= 0,Parent jurisdiction,Not Started
